"","hgnc_symbol","description"
"ENSG00000013016","EHD3","EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]"
"ENSG00000013441","CLK1","CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]"
"ENSG00000014641","MDH1","malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]"
"ENSG00000014914","MTMR11","myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]"
"ENSG00000015568","RGPD5","RANBP2 like and GRIP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:32418]"
"ENSG00000018280","SLC11A1","solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]"
"ENSG00000018510","AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]"
"ENSG00000018625","ATP1A2","ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]"
"ENSG00000018699","TTC27","tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]"
"ENSG00000020129","NCDN","neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]"
"ENSG00000021574","SPAST","spastin [Source:HGNC Symbol;Acc:HGNC:11233]"
"ENSG00000021826","CPS1","carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]"
"ENSG00000021852","C8B","complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]"
"ENSG00000023228","NDUFS1","NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]"
"ENSG00000023572","GLRX2","glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]"
"ENSG00000023902","PLEKHO1","pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]"
"ENSG00000023909","GCLM","glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]"
"ENSG00000024526","DEPDC1","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]"
"ENSG00000025800","KPNA6","karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]"
"ENSG00000027644","INSRR","insulin receptor related receptor [Source:HGNC Symbol;Acc:HGNC:6093]"
"ENSG00000027869","SH2D2A","SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]"
"ENSG00000028116","VRK2","VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]"
"ENSG00000030419","IKZF2","IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]"
"ENSG00000031698","SARS1","seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]"
"ENSG00000032389","EIPR1","EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]"
"ENSG00000033122","LRRC7","leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]"
"ENSG00000034510","TMSB10","thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]"
"ENSG00000035115","SH3YL1","SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]"
"ENSG00000035141","FAM136A","family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]"
"ENSG00000035687","ADSS2","adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]"
"ENSG00000036257","CUL3","cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]"
"ENSG00000036549","ZZZ3","zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]"
"ENSG00000037637","FBXO42","F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]"
"ENSG00000040487","SLC66A1","solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]"
"ENSG00000040933","INPP4A","inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]"
"ENSG00000041988","THAP3","THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]"
"ENSG00000042445","RETSAT","retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]"
"ENSG00000042493","CAPG","capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]"
"ENSG00000042781","USH2A","usherin [Source:HGNC Symbol;Acc:HGNC:12601]"
"ENSG00000043514","TRIT1","tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]"
"ENSG00000044012","GUCA2B","guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]"
"ENSG00000047410","TPR","translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]"
"ENSG00000048707","VPS13D","vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]"
"ENSG00000048991","R3HDM1","R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]"
"ENSG00000049089","COL9A2","collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]"
"ENSG00000049239","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]"
"ENSG00000049245","VAMP3","vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]"
"ENSG00000049246","PER3","period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]"
"ENSG00000049249","TNFRSF9","TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]"
"ENSG00000049323","LTBP1","latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]"
"ENSG00000052723","SIKE1","suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]"
"ENSG00000053371","AKR7A2","aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]"
"ENSG00000053372","MRTO4","MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]"
"ENSG00000054116","TRAPPC3","trafficking protein particle complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19942]"
"ENSG00000054118","THRAP3","thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]"
"ENSG00000054267","ARID4B","AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]"
"ENSG00000054277","OPN3","opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]"
"ENSG00000054282","SDCCAG8","SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]"
"ENSG00000054392","HHAT","hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]"
"ENSG00000054523","KIF1B","kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]"
"ENSG00000055044","NOP58","NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]"
"ENSG00000055070","SZRD1","SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]"
"ENSG00000055332","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]"
"ENSG00000055732","MCOLN3","mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]"
"ENSG00000055813","CCDC85A","coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]"
"ENSG00000055917","PUM2","pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]"
"ENSG00000057252","SOAT1","sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]"
"ENSG00000057468","MSH4","mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]"
"ENSG00000057757","PITHD1","PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]"
"ENSG00000057935","MTA3","metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]"
"ENSG00000058085","LAMC2","laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]"
"ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]"
"ENSG00000058668","ATP2B4","ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]"
"ENSG00000058673","ZC3H11A","zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]"
"ENSG00000058799","YIPF1","Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]"
"ENSG00000058804","NDC1","NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]"
"ENSG00000059588","TARBP1","TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]"
"ENSG00000059728","MXD1","MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]"
"ENSG00000060642","PIGV","phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]"
"ENSG00000060656","PTPRU","protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]"
"ENSG00000060688","SNRNP40","small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]"
"ENSG00000060718","COL11A1","collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]"
"ENSG00000061676","NCKAP1","NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]"
"ENSG00000063660","GPC1","glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]"
"ENSG00000064012","CASP8","caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]"
"ENSG00000064703","DDX20","DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]"
"ENSG00000064886","CHI3L2","chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]"
"ENSG00000064933","PMS1","PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]"
"ENSG00000064989","CALCRL","calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]"
"ENSG00000065135","GNAI3","G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]"
"ENSG00000065183","WDR3","WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]"
"ENSG00000065243","PKN2","protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]"
"ENSG00000065413","ANKRD44","ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]"
"ENSG00000065526","SPEN","spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]"
"ENSG00000065548","ZC3H15","zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]"
"ENSG00000065600","PACC1","proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593]"
"ENSG00000065802","ASB1","ankyrin repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:16011]"
"ENSG00000065911","MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]"
"ENSG00000065978","YBX1","Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]"
"ENSG00000066027","PPP2R5A","protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]"
"ENSG00000066032","CTNNA2","catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]"
"ENSG00000066056","TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]"
"ENSG00000066135","KDM4A","lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]"
"ENSG00000066136","NFYC","nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]"
"ENSG00000066185","ZMYND12","zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]"
"ENSG00000066248","NGEF","neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]"
"ENSG00000066279","ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]"
"ENSG00000066322","ELOVL1","ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]"
"ENSG00000066557","LRRC40","leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]"
"ENSG00000067066","SP100","SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]"
"ENSG00000067208","EVI5","ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]"
"ENSG00000067334","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]"
"ENSG00000067533","RRP15","ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]"
"ENSG00000067606","PRKCZ","protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]"
"ENSG00000067704","IARS2","isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]"
"ENSG00000068024","HDAC4","histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]"
"ENSG00000068615","REEP1","receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]"
"ENSG00000068654","POLR1A","RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]"
"ENSG00000068697","LAPTM4A","lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]"
"ENSG00000068724","TTC7A","tetratricopeptide repeat domain 7A [Source:HGNC Symbol;Acc:HGNC:19750]"
"ENSG00000068784","SRBD1","S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]"
"ENSG00000068878","PSME4","proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]"
"ENSG00000068912","ERLEC1","endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]"
"ENSG00000069248","NUP133","nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]"
"ENSG00000069275","NUCKS1","nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]"
"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]"
"ENSG00000069702","TGFBR3","transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]"
"ENSG00000069812","HES2","hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]"
"ENSG00000070759","TESK2","testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]"
"ENSG00000070785","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]"
"ENSG00000070831","CDC42","cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]"
"ENSG00000071051","NCK2","NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]"
"ENSG00000071054","MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]"
"ENSG00000071073","MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]"
"ENSG00000071082","RPL31","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"ENSG00000071575","TRIB2","tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]"
"ENSG00000071909","MYO3B","myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]"
"ENSG00000071967","CYBRD1","cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]"
"ENSG00000072135","PTPN18","protein tyrosine phosphatase non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]"
"ENSG00000072163","LIMS2","LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084]"
"ENSG00000072182","ASIC4","acid sensing ion channel subunit family member 4 [Source:HGNC Symbol;Acc:HGNC:21263]"
"ENSG00000072195","SPEG","striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]"
"ENSG00000073734","ABCB11","ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]"
"ENSG00000073756","PTGS2","prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]"
"ENSG00000074054","CLASP1","cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]"
"ENSG00000074582","BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]"
"ENSG00000074800","ENO1","enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]"
"ENSG00000074964","ARHGEF10L","Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]"
"ENSG00000075151","EIF4G3","eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]"
"ENSG00000075292","ZNF638","zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]"
"ENSG00000075340","ADD2","adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]"
"ENSG00000075391","RASAL2","RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]"
"ENSG00000075426","FOSL2","FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]"
"ENSG00000075568","TMEM131","transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]"
"ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]"
"ENSG00000075886","TUBA3D","tubulin alpha 3d [Source:HGNC Symbol;Acc:HGNC:24071]"
"ENSG00000075945","KIFAP3","kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]"
"ENSG00000076003","MCM6","minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]"
"ENSG00000076258","FMO4","flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]"
"ENSG00000076321","KLHL20","kelch like family member 20 [Source:HGNC Symbol;Acc:HGNC:25056]"
"ENSG00000076356","PLXNA2","plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]"
"ENSG00000076864","RAP1GAP","RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]"
"ENSG00000077044","DGKD","diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]"
"ENSG00000077152","UBE2T","ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]"
"ENSG00000077157","PPP1R12B","protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]"
"ENSG00000077232","DNAJC10","DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]"
"ENSG00000077254","USP33","ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059]"
"ENSG00000077380","DYNC1I2","dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]"
"ENSG00000077522","ACTN2","actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]"
"ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]"
"ENSG00000077585","GPR137B","G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862]"
"ENSG00000078018","MAP2","microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]"
"ENSG00000078369","GNB1","G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]"
"ENSG00000078618","NRDC","nardilysin convertase [Source:HGNC Symbol;Acc:HGNC:7995]"
"ENSG00000078808","SDF4","stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]"
"ENSG00000078900","TP73","tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]"
"ENSG00000079150","FKBP7","FKBP prolyl isomerase 7 [Source:HGNC Symbol;Acc:HGNC:3723]"
"ENSG00000079156","OSBPL6","oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]"
"ENSG00000079246","XRCC5","X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]"
"ENSG00000079263","SP140","SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]"
"ENSG00000079277","MKNK1","MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]"
"ENSG00000079308","TNS1","tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]"
"ENSG00000079335","CDC14A","cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]"
"ENSG00000079739","PGM1","phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]"
"ENSG00000079785","DDX1","DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]"
"ENSG00000080293","SCTR","secretin receptor [Source:HGNC Symbol;Acc:HGNC:10608]"
"ENSG00000080345","RIF1","replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207]"
"ENSG00000080910","CFHR2","complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890]"
"ENSG00000080947","CROCCP3","CROCC pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:29405]"
"ENSG00000081019","RSBN1","round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]"
"ENSG00000081026","MAGI3","membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29647]"
"ENSG00000081052","COL4A4","collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206]"
"ENSG00000081237","PTPRC","protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]"
"ENSG00000081248","CACNA1S","calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]"
"ENSG00000081320","STK17B","serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]"
"ENSG00000081479","LRP2","LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]"
"ENSG00000081692","JMJD4","jumonji domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25724]"
"ENSG00000081721","DUSP12","dual specificity phosphatase 12 [Source:HGNC Symbol;Acc:HGNC:3067]"
"ENSG00000081870","IFT25","intraflagellar transport 25 [Source:HGNC Symbol;Acc:HGNC:25019]"
"ENSG00000081985","IL12RB2","interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]"
"ENSG00000082126","MPP4","MAGUK p55 scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:13680]"
"ENSG00000082146","STRADB","STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205]"
"ENSG00000082153","BZW1","basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]"
"ENSG00000082258","CCNT2","cyclin T2 [Source:HGNC Symbol;Acc:HGNC:1600]"
