"","mgi_symbol","description"
"ENSMUSG00000001999","Blvra","biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]"
"ENSMUSG00000002006","Pdzd4","PDZ domain containing 4 [Source:MGI Symbol;Acc:MGI:2443483]"
"ENSMUSG00000002007","Srpk3","serine/arginine-rich protein specific kinase 3 [Source:MGI Symbol;Acc:MGI:1891338]"
"ENSMUSG00000002010","Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]"
"ENSMUSG00000002012","Pnck","pregnancy upregulated non-ubiquitously expressed CaM kinase [Source:MGI Symbol;Acc:MGI:1347357]"
"ENSMUSG00000002014","Ssr4","signal sequence receptor, delta [Source:MGI Symbol;Acc:MGI:1099464]"
"ENSMUSG00000002015","Bcap31","B cell receptor associated protein 31 [Source:MGI Symbol;Acc:MGI:1350933]"
"ENSMUSG00000002100","Mybpc3","myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]"
"ENSMUSG00000002102","Psmc3","proteasome (prosome, macropain) 26S subunit, ATPase 3 [Source:MGI Symbol;Acc:MGI:1098754]"
"ENSMUSG00000002103","Acp2","acid phosphatase 2, lysosomal [Source:MGI Symbol;Acc:MGI:87882]"
"ENSMUSG00000002104","Rapsn","receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]"
"ENSMUSG00000002105","Slc39a13","solute carrier family 39 (metal ion transporter), member 13 [Source:MGI Symbol;Acc:MGI:1915677]"
"ENSMUSG00000002107","Celf2","CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]"
"ENSMUSG00000002108","Nr1h3","nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]"
"ENSMUSG00000002109","Ddb2","damage specific DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1355314]"
"ENSMUSG00000002111","Spi1","Spi-1 proto-oncogene [Source:MGI Symbol;Acc:MGI:98282]"
"ENSMUSG00000002227","Mov10","Mov10 RISC complex RNA helicase [Source:MGI Symbol;Acc:MGI:97054]"
"ENSMUSG00000002228","Ppm1j","protein phosphatase 1J [Source:MGI Symbol;Acc:MGI:1919137]"
"ENSMUSG00000002233","Rhoc","ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]"
"ENSMUSG00000002428","Hltf","helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"
"ENSMUSG00000002455","Prpf6","pre-mRNA splicing factor 6 [Source:MGI Symbol;Acc:MGI:1922946]"
"ENSMUSG00000002458","Rgs19","regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]"
"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]"
"ENSMUSG00000002546","Golga2","golgin A2 [Source:MGI Symbol;Acc:MGI:2139395]"
"ENSMUSG00000002550","Uck1","uridine-cytidine kinase 1 [Source:MGI Symbol;Acc:MGI:98904]"
"ENSMUSG00000002718","Cse1l","chromosome segregation 1 like [Source:MGI Symbol;Acc:MGI:1339951]"
"ENSMUSG00000002728","Naa20","N(alpha)-acetyltransferase 20, NatB catalytic subunit [Source:MGI Symbol;Acc:MGI:1915127]"
"ENSMUSG00000002731","Prkra","protein kinase, interferon inducible double stranded RNA dependent activator [Source:MGI Symbol;Acc:MGI:1344375]"
"ENSMUSG00000002732","Fkbp7","FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879]"
"ENSMUSG00000002733","Plekha3","pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 [Source:MGI Symbol;Acc:MGI:1932515]"
"ENSMUSG00000002881","Nab1","Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564]"
"ENSMUSG00000003051","Elf3","E74-like factor 3 [Source:MGI Symbol;Acc:MGI:1101781]"
"ENSMUSG00000003134","Tbc1d8","TBC1 domain family, member 8 [Source:MGI Symbol;Acc:MGI:1927225]"
"ENSMUSG00000003135","Cnot11","CCR4-NOT transcription complex, subunit 11 [Source:MGI Symbol;Acc:MGI:106580]"
"ENSMUSG00000003283","Hck","hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]"
"ENSMUSG00000003418","St8sia6","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:MGI Symbol;Acc:MGI:2386797]"
"ENSMUSG00000003458","Ncstn","nicastrin [Source:MGI Symbol;Acc:MGI:1891700]"
"ENSMUSG00000003464","Pex19","peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458]"
"ENSMUSG00000003604","Aven","apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]"
"ENSMUSG00000003617","Cp","ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"
"ENSMUSG00000003660","Snrnp200","small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401]"
"ENSMUSG00000003662","Ciao1","cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998]"
"ENSMUSG00000003721","Insig2","insulin induced gene 2 [Source:MGI Symbol;Acc:MGI:1920249]"
"ENSMUSG00000004032","Gstm5","glutathione S-transferase, mu 5 [Source:MGI Symbol;Acc:MGI:1309466]"
"ENSMUSG00000004035","Gstm7","glutathione S-transferase, mu 7 [Source:MGI Symbol;Acc:MGI:1915562]"
"ENSMUSG00000004085","Map3k20","mitogen-activated protein kinase kinase kinase 20 [Source:MGI Symbol;Acc:MGI:2443258]"
"ENSMUSG00000004105","Angptl2","angiopoietin-like 2 [Source:MGI Symbol;Acc:MGI:1347002]"
"ENSMUSG00000004113","Cacna1b","calcium channel, voltage-dependent, N type, alpha 1B subunit [Source:MGI Symbol;Acc:MGI:88296]"
"ENSMUSG00000004127","Trmt10a","tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421]"
"ENSMUSG00000004221","Ikbkg","inhibitor of kappaB kinase gamma [Source:MGI Symbol;Acc:MGI:1338074]"
"ENSMUSG00000004233","Wars2","tryptophanyl tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1917810]"
"ENSMUSG00000004317","Clcn5","chloride channel, voltage-sensitive 5 [Source:MGI Symbol;Acc:MGI:99486]"
"ENSMUSG00000004364","Cul3","cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]"
"ENSMUSG00000004451","Ralb","v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244]"
"ENSMUSG00000004552","Ctse","cathepsin E [Source:MGI Symbol;Acc:MGI:107361]"
"ENSMUSG00000004591","Pkn2","protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211]"
"ENSMUSG00000004707","Ly9","lymphocyte antigen 9 [Source:MGI Symbol;Acc:MGI:96885]"
"ENSMUSG00000004768","Rab23","RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]"
"ENSMUSG00000004872","Pax3","paired box 3 [Source:MGI Symbol;Acc:MGI:97487]"
"ENSMUSG00000004880","Lbr","lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]"
"ENSMUSG00000005034","Prkacb","protein kinase, cAMP dependent, catalytic, beta [Source:MGI Symbol;Acc:MGI:97594]"
"ENSMUSG00000005087","Cd44","CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"
"ENSMUSG00000005089","Slc1a2","solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:MGI Symbol;Acc:MGI:101931]"
"ENSMUSG00000005102","Eif2ak4","eukaryotic translation initiation factor 2 alpha kinase 4 [Source:MGI Symbol;Acc:MGI:1353427]"
"ENSMUSG00000005233","Spc25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913692]"
"ENSMUSG00000005493","Msh4","mutS homolog 4 [Source:MGI Symbol;Acc:MGI:1860077]"
"ENSMUSG00000005501","Usp40","ubiquitin specific peptidase 40 [Source:MGI Symbol;Acc:MGI:2443184]"
"ENSMUSG00000005505","Kbtbd4","kelch repeat and BTB (POZ) domain containing 4 [Source:MGI Symbol;Acc:MGI:1914386]"
"ENSMUSG00000005506","Celf1","CUGBP, Elav-like family member 1 [Source:MGI Symbol;Acc:MGI:1342295]"
"ENSMUSG00000005510","Ndufs3","NADH:ubiquinone oxidoreductase core subunit S3 [Source:MGI Symbol;Acc:MGI:1915599]"
"ENSMUSG00000005628","Tmod4","tropomodulin 4 [Source:MGI Symbol;Acc:MGI:1355285]"
"ENSMUSG00000005674","Tomm40l","translocase of outer mitochondrial membrane 40-like [Source:MGI Symbol;Acc:MGI:3589112]"
"ENSMUSG00000005677","Nr1i3","nuclear receptor subfamily 1, group I, member 3 [Source:MGI Symbol;Acc:MGI:1346307]"
"ENSMUSG00000005681","Apoa2","apolipoprotein A-II [Source:MGI Symbol;Acc:MGI:88050]"
"ENSMUSG00000005687","Bcas2","BCAS2 pre-mRNA processing factor [Source:MGI Symbol;Acc:MGI:1915433]"
"ENSMUSG00000005763","Cd247","CD247 antigen [Source:MGI Symbol;Acc:MGI:88334]"
"ENSMUSG00000005802","Slc30a4","solute carrier family 30 (zinc transporter), member 4 [Source:MGI Symbol;Acc:MGI:1345282]"
"ENSMUSG00000005803","Sqor","sulfide quinone oxidoreductase [Source:MGI Symbol;Acc:MGI:1929899]"
"ENSMUSG00000005804","Bloc1s6","biogenesis of lysosomal organelles complex-1, subunit 6, pallidin [Source:MGI Symbol;Acc:MGI:1927580]"
"ENSMUSG00000005813","Metap1","methionyl aminopeptidase 1 [Source:MGI Symbol;Acc:MGI:1922874]"
"ENSMUSG00000005881","Ergic3","ERGIC and golgi 3 [Source:MGI Symbol;Acc:MGI:1913616]"
"ENSMUSG00000005882","Uqcc1","ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:MGI Symbol;Acc:MGI:1929472]"
"ENSMUSG00000005883","Spo11","SPO11 initiator of meiotic double stranded breaks [Source:MGI Symbol;Acc:MGI:1349669]"
"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533]"
"ENSMUSG00000005968","Tuft1","tuftelin 1 [Source:MGI Symbol;Acc:MGI:109572]"
"ENSMUSG00000006005","Tpr","translocated promoter region, nuclear basket protein [Source:MGI Symbol;Acc:MGI:1922066]"
"ENSMUSG00000006010","Odr4","odr4 GPCR localization factor homolog [Source:MGI Symbol;Acc:MGI:2385108]"
"ENSMUSG00000006014","Prg4","proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein) [Source:MGI Symbol;Acc:MGI:1891344]"
"ENSMUSG00000006299","Aamp","angio-associated migratory protein [Source:MGI Symbol;Acc:MGI:107809]"
"ENSMUSG00000006301","Tmbim1","transmembrane BAX inhibitor motif containing 1 [Source:MGI Symbol;Acc:MGI:1916910]"
"ENSMUSG00000006304","Arpc2","actin related protein 2/3 complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1923959]"
"ENSMUSG00000006373","Pgrmc1","progesterone receptor membrane component 1 [Source:MGI Symbol;Acc:MGI:1858305]"
"ENSMUSG00000006403","Adamts4","ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:MGI Symbol;Acc:MGI:1339949]"
"ENSMUSG00000006411","Nectin4","nectin cell adhesion molecule 4 [Source:MGI Symbol;Acc:MGI:1918990]"
"ENSMUSG00000006412","Pfdn2","prefoldin 2 [Source:MGI Symbol;Acc:MGI:1276111]"
"ENSMUSG00000006418","Rnf114","ring finger protein 114 [Source:MGI Symbol;Acc:MGI:1933159]"
"ENSMUSG00000006423","Steep1","STING1 ER exit protein 1 [Source:MGI Symbol;Acc:MGI:1924894]"
"ENSMUSG00000006462","A530013C23Rik","RIKEN cDNA A530013C23 gene [Source:MGI Symbol;Acc:MGI:3041178]"
"ENSMUSG00000006471","Ndor1","NADPH dependent diflavin oxidoreductase 1 [Source:MGI Symbol;Acc:MGI:1926047]"
"ENSMUSG00000006476","Nsmf","NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:MGI Symbol;Acc:MGI:1861755]"
"ENSMUSG00000006494","Pdk1","pyruvate dehydrogenase kinase, isoenzyme 1 [Source:MGI Symbol;Acc:MGI:1926119]"
"ENSMUSG00000006538","Ihh","Indian hedgehog [Source:MGI Symbol;Acc:MGI:96533]"
"ENSMUSG00000006542","Prkag3","protein kinase, AMP-activated, gamma 3 non-catalytic subunit [Source:MGI Symbol;Acc:MGI:1891343]"
"ENSMUSG00000006576","Slc4a3","solute carrier family 4 (anion exchanger), member 3 [Source:MGI Symbol;Acc:MGI:109350]"
"ENSMUSG00000006678","Pola1","polymerase (DNA directed), alpha 1 [Source:MGI Symbol;Acc:MGI:99660]"
"ENSMUSG00000006800","Sulf2","sulfatase 2 [Source:MGI Symbol;Acc:MGI:1919293]"
"ENSMUSG00000007097","Atp1a2","ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:MGI Symbol;Acc:MGI:88106]"
"ENSMUSG00000007122","Casq1","calsequestrin 1 [Source:MGI Symbol;Acc:MGI:1309468]"
"ENSMUSG00000007379","Dennd2c","DENN domain containing 2C [Source:MGI Symbol;Acc:MGI:3036254]"
"ENSMUSG00000007476","Lrrc8a","leucine rich repeat containing 8A VRAC subunit A [Source:MGI Symbol;Acc:MGI:2652847]"
"ENSMUSG00000007659","Bcl2l1","BCL2-like 1 [Source:MGI Symbol;Acc:MGI:88139]"
"ENSMUSG00000007805","Twist2","twist basic helix-loop-helix transcription factor 2 [Source:MGI Symbol;Acc:MGI:104685]"
"ENSMUSG00000008035","Mid1ip1","Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)) [Source:MGI Symbol;Acc:MGI:1915291]"
"ENSMUSG00000008136","Fhl2","four and a half LIM domains 2 [Source:MGI Symbol;Acc:MGI:1338762]"
"ENSMUSG00000008200","Fnbp4","formin binding protein 4 [Source:MGI Symbol;Acc:MGI:1860513]"
"ENSMUSG00000008226","Scrn3","secernin 3 [Source:MGI Symbol;Acc:MGI:1921866]"
"ENSMUSG00000008333","Snrpb2","U2 small nuclear ribonucleoprotein B [Source:MGI Symbol;Acc:MGI:104805]"
"ENSMUSG00000008475","Arpc5","actin related protein 2/3 complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1915021]"
"ENSMUSG00000008601","Rab25","RAB25, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1858203]"
"ENSMUSG00000008604","Ubqln4","ubiquilin 4 [Source:MGI Symbol;Acc:MGI:2150152]"
"ENSMUSG00000008682","Rpl10","ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:105943]"
"ENSMUSG00000008763","Man1a2","mannosidase, alpha, class 1A, member 2 [Source:MGI Symbol;Acc:MGI:104676]"
"ENSMUSG00000008958","Vps72","vacuolar protein sorting 72 [Source:MGI Symbol;Acc:MGI:1202305]"
"ENSMUSG00000008999","Bmp7","bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302]"
"ENSMUSG00000009030","Pdcl","phosducin-like [Source:MGI Symbol;Acc:MGI:1914716]"
"ENSMUSG00000009108","Gnat2","G protein subunit alpha transducin 2 [Source:MGI Symbol;Acc:MGI:95779]"
"ENSMUSG00000009207","Lnpk","lunapark, ER junction formation factor [Source:MGI Symbol;Acc:MGI:1918115]"
"ENSMUSG00000009406","Elk1","ELK1, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833]"
"ENSMUSG00000009418","Nav1","neuron navigator 1 [Source:MGI Symbol;Acc:MGI:2183683]"
"ENSMUSG00000009549","Srp14","signal recognition particle 14 [Source:MGI Symbol;Acc:MGI:107169]"
"ENSMUSG00000009551","6330409D20Rik","RIKEN cDNA 6330409D20 gene [Source:MGI Symbol;Acc:MGI:1917980]"
"ENSMUSG00000009555","Cdk9","cyclin dependent kinase 9 [Source:MGI Symbol;Acc:MGI:1328368]"
"ENSMUSG00000009563","Tor2a","torsin family 2, member A [Source:MGI Symbol;Acc:MGI:1353596]"
"ENSMUSG00000009566","Fpgs","folylpolyglutamyl synthetase [Source:MGI Symbol;Acc:MGI:95576]"
"ENSMUSG00000009596","Taf7l","TATA-box binding protein associated factor 7 like [Source:MGI Symbol;Acc:MGI:1921719]"
"ENSMUSG00000009614","Sardh","sarcosine dehydrogenase [Source:MGI Symbol;Acc:MGI:2183102]"
"ENSMUSG00000009621","Vav2","vav 2 oncogene [Source:MGI Symbol;Acc:MGI:102718]"
"ENSMUSG00000009633","G0s2","G0/G1 switch gene 2 [Source:MGI Symbol;Acc:MGI:1316737]"
"ENSMUSG00000009731","Kcnd1","potassium voltage-gated channel, Shal-related family, member 1 [Source:MGI Symbol;Acc:MGI:96671]"
"ENSMUSG00000009772","Nuak2","NUAK family, SNF1-like kinase, 2 [Source:MGI Symbol;Acc:MGI:1921387]"
"ENSMUSG00000009876","Cox4i2","cytochrome c oxidase subunit 4I2 [Source:MGI Symbol;Acc:MGI:2135755]"
"ENSMUSG00000009905","Kdsr","3-ketodihydrosphingosine reductase [Source:MGI Symbol;Acc:MGI:1918000]"
"ENSMUSG00000009907","Vps4b","vacuolar protein sorting 4B [Source:MGI Symbol;Acc:MGI:1100499]"
"ENSMUSG00000009995","Tafazzin","tafazzin, phospholipid-lysophospholipid transacylase [Source:MGI Symbol;Acc:MGI:109626]"
"ENSMUSG00000010290","AI597479","expressed sequence AI597479 [Source:MGI Symbol;Acc:MGI:2138299]"
"ENSMUSG00000010453","Kansl3","KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055]"
"ENSMUSG00000010492","Uckl1os","uridine-cytidine kinase 1-like 1, opposite strand [Source:MGI Symbol;Acc:MGI:3801877]"
"ENSMUSG00000010538","Tsacc","TSSK6 activating co-chaperone [Source:MGI Symbol;Acc:MGI:1924177]"
"ENSMUSG00000010609","Psen2","presenilin 2 [Source:MGI Symbol;Acc:MGI:109284]"
"ENSMUSG00000010911","Apip","APAF1 interacting protein [Source:MGI Symbol;Acc:MGI:1926788]"
"ENSMUSG00000010914","Pdhx","pyruvate dehydrogenase complex, component X [Source:MGI Symbol;Acc:MGI:1351627]"
"ENSMUSG00000011008","Mcoln2","mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]"
"ENSMUSG00000012350","Ehf","ets homologous factor [Source:MGI Symbol;Acc:MGI:1270840]"
"ENSMUSG00000013275","Slc41a1","solute carrier family 41, member 1 [Source:MGI Symbol;Acc:MGI:2444823]"
"ENSMUSG00000013338","Fer1l4","fer-1 like family member 4 [Source:MGI Symbol;Acc:MGI:1921812]"
"ENSMUSG00000013465","Nelfb","negative elongation factor complex member B [Source:MGI Symbol;Acc:MGI:1931035]"
"ENSMUSG00000013523","Bcas1","brain enriched myelin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924210]"
"ENSMUSG00000013593","Ndufs2","NADH:ubiquinone oxidoreductase core subunit S2 [Source:MGI Symbol;Acc:MGI:2385112]"
"ENSMUSG00000013698","Pea15a","proliferation and apoptosis adaptor protein 15A [Source:MGI Symbol;Acc:MGI:104799]"
"ENSMUSG00000013707","Tnfaip8l2","tumor necrosis factor, alpha-induced protein 8-like 2 [Source:MGI Symbol;Acc:MGI:1917019]"
"ENSMUSG00000013973","Dedd","death effector domain-containing [Source:MGI Symbol;Acc:MGI:1333874]"
"ENSMUSG00000013997","Nit1","nitrilase 1 [Source:MGI Symbol;Acc:MGI:1350916]"
"ENSMUSG00000014077","Chp1","calcineurin-like EF hand protein 1 [Source:MGI Symbol;Acc:MGI:1927185]"
"ENSMUSG00000014226","Cacybp","calcyclin binding protein [Source:MGI Symbol;Acc:MGI:1270839]"
"ENSMUSG00000014353","Tmem87b","transmembrane protein 87B [Source:MGI Symbol;Acc:MGI:1919727]"
"ENSMUSG00000014355","Anapc1","anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]"
"ENSMUSG00000014361","Mertk","MER proto-oncogene tyrosine kinase [Source:MGI Symbol;Acc:MGI:96965]"
"ENSMUSG00000014867","Surf4","surfeit gene 4 [Source:MGI Symbol;Acc:MGI:98445]"
"ENSMUSG00000014873","Surf2","surfeit gene 2 [Source:MGI Symbol;Acc:MGI:98444]"
"ENSMUSG00000014959","Gorasp2","golgi reassembly stacking protein 2 [Source:MGI Symbol;Acc:MGI:2135962]"
"ENSMUSG00000014980","Tsen15","tRNA splicing endonuclease subunit 15 [Source:MGI Symbol;Acc:MGI:1913887]"
"ENSMUSG00000015083","C8g","complement component 8, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88237]"
"ENSMUSG00000015087","Rabl6","RAB, member RAS oncogene family-like 6 [Source:MGI Symbol;Acc:MGI:2442633]"
"ENSMUSG00000015090","Ptgds","prostaglandin D2 synthase (brain) [Source:MGI Symbol;Acc:MGI:99261]"
"ENSMUSG00000015092","Edf1","endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]"
"ENSMUSG00000015093","Clic3","chloride intracellular channel 3 [Source:MGI Symbol;Acc:MGI:1916704]"
"ENSMUSG00000015094","Npdc1","neural proliferation, differentiation and control 1 [Source:MGI Symbol;Acc:MGI:1099802]"
"ENSMUSG00000015095","Fbxw5","F-box and WD-40 domain protein 5 [Source:MGI Symbol;Acc:MGI:1354731]"
"ENSMUSG00000015214","Mtmr1","myotubularin related protein 1 [Source:MGI Symbol;Acc:MGI:1858271]"
"ENSMUSG00000015217","Hmgb3","high mobility group box 3 [Source:MGI Symbol;Acc:MGI:1098219]"
"ENSMUSG00000015222","Map2","microtubule-associated protein 2 [Source:MGI Symbol;Acc:MGI:97175]"
"ENSMUSG00000015289","Lage3","L antigen family, member 3 [Source:MGI Symbol;Acc:MGI:1913442]"
"ENSMUSG00000015290","Ubl4a","ubiquitin-like 4A [Source:MGI Symbol;Acc:MGI:95049]"
"ENSMUSG00000015291","Gdi1","GDP dissociation inhibitor 1 [Source:MGI Symbol;Acc:MGI:99846]"
"ENSMUSG00000015335","Zdhhc12","zinc finger, DHHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1913470]"
"ENSMUSG00000015337","Endog","endonuclease G [Source:MGI Symbol;Acc:MGI:1261433]"
"ENSMUSG00000015340","Cybb","cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]"
"ENSMUSG00000015342","Xk","X-linked Kx blood group [Source:MGI Symbol;Acc:MGI:103569]"
"ENSMUSG00000015488","Cacfd1","calcium channel flower domain containing 1 [Source:MGI Symbol;Acc:MGI:1924317]"
"ENSMUSG00000015619","Gata3","GATA binding protein 3 [Source:MGI Symbol;Acc:MGI:95663]"
"ENSMUSG00000015627","Gata5","GATA binding protein 5 [Source:MGI Symbol;Acc:MGI:109497]"
"ENSMUSG00000015647","Lama5","laminin, alpha 5 [Source:MGI Symbol;Acc:MGI:105382]"
"ENSMUSG00000015668","Pdzd11","PDZ domain containing 11 [Source:MGI Symbol;Acc:MGI:1919871]"
